activity,quantity,name
46,163035,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами"
94,110508,Діяльність громадських організацій
1,68642,"Сільське господарство, мисливство та надання пов'язаних із ними послуг"
81,50057,Обслуговування будинків і територій
68,49162,Операції з нерухомим майном
85,43595,Освіта
41,39663,Будівництво будівель
84,37951,Державне управління й оборона; обов'язкове соціальне страхування
51,37766,Авіаційний транспорт
91,33154,"Функціювання бібліотек, архівів, музеїв та інших закладів культури"
47,30087,"Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами"
45,27767,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт"
52,18212,Складське господарство та допоміжна діяльність у сфері транспорту
70,18201,Діяльність головних управлінь (хед-офісів); консультування з питань керування
69,18018,Діяльність у сферах права та бухгалтерського обліку
74,14808,"Інша професійна, наукова та технічна діяльність"
43,14506,Спеціалізовані будівельні роботи
88,14363,Надання соціальної допомоги без забезпечення проживання
71,13562,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження
49,13207,Наземний і трубопровідний транспорт
