activity,quantity,name
47,625722,"Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами"
52,131684,Складське господарство та допоміжна діяльність у сфері транспорту
46,108044,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами"
62,101251,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність"
96,73138,Надання інших індивідуальних послуг
49,67109,Наземний і трубопровідний транспорт
68,60870,Операції з нерухомим майном
45,59948,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт"
56,48468,Діяльність із забезпечення стравами та напоями
74,28477,"Інша професійна, наукова та технічна діяльність"
95,27570,"Ремонт комп'ютерів, побутових виробів і предметів особистого вжитку"
60,27442,Діяльність у сфері радіомовлення та телевізійного мовлення
1,25470,"Сільське господарство, мисливство та надання пов'язаних із ними послуг"
63,24962,Надання інформаційних послуг
51,22703,Авіаційний транспорт
69,21629,Діяльність у сферах права та бухгалтерського обліку
73,20975,Рекламна діяльність і дослідження кон'юнктури ринку
93,19312,"Діяльність у сфері спорту, організування відпочинку та розваг"
70,18306,Діяльність головних управлінь (хед-офісів); консультування з питань керування
43,16542,Спеціалізовані будівельні роботи
