region,quantity,sum
Київська обл,89974,1275158000
Автономна Республіка Крим,55492,478802000
Донецька обл,52181,181412000
Луганська обл,43368,178698000
Харківська обл,34419,163889000
Львівська обл,26802,70656000
Хмельницька обл,26485,49623000
Вінницька обл,26337,88649000
Івано-Франківська обл,23880,73249000
Одеська обл,21142,81269000
Закарпатська обл,19483,58879000
Херсонська обл,18935,73406000
Житомирська обл,16689,74159000
Миколаївська обл,16681,51139000
Полтавська обл,16385,77064000
Дніпропетровська обл,15239,69813000
Сумська обл,14647,101566000
Черкаська обл,14576,44185000
Запорізька обл,14146,66697000
Чернігівська обл,13306,23160000
Кіровоградська обл,13277,53215000
Волинська обл,13206,29878000
Тернопільська обл,12538,20465000
Чернівецька обл,12190,56454000
Рівненська обл,9404,68401000
