region,quantity,sum
Київська обл,51045,16260768000
Автономна Республіка Крим,11092,21748150000
Донецька обл,9220,3344070000
Львівська обл,6239,1917531000
Луганська обл,6199,1490413000
Харківська обл,4651,3561368000
Чернігівська обл,3170,412817000
Запорізька обл,3049,804060000
Івано-Франківська обл,2713,752572000
Одеська обл,2574,621229000
Полтавська обл,2298,2731646000
Черкаська обл,2296,407459000
Херсонська обл,2277,470205000
Житомирська обл,2040,325835000
Миколаївська обл,1957,357878000
Закарпатська обл,1941,253238000
Дніпропетровська обл,1786,684440000
Вінницька обл,1678,472185000
Сумська обл,1567,609008000
Волинська обл,1440,558747000
Тернопільська обл,1275,251994000
Хмельницька обл,1236,321863000
Рівненська обл,1172,309511000
Кіровоградська обл,1046,408070000
Чернівецька обл,808,470732000
