class,with_debt,active
"46 Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",27 409,148 041
41 Будівництво будівель,7 868,37 371
68 Операції з нерухомим майном,7 441,47 108
"01 Сільське господарство, мисливство та надання пов'язаних із ними послуг",6 176,67 004
"47 Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",5 484,29 257
51 Авіаційний транспорт,5 116,38 039
"45 Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт",4 361,27 245
52 Складське господарство та допоміжна діяльність у сфері транспорту,2 735,17 638
81 Обслуговування будинків і територій,2 499,47 555
43 Спеціалізовані будівельні роботи,2 227,13 668
56 Діяльність із забезпечення стравами та напоями,2 216,10 856
70 Діяльність головних управлінь (хед-офісів); консультування з питань керування,2 094,18 058
49 Наземний і трубопровідний транспорт,2 066,12 197
73 Рекламна діяльність і дослідження кон'юнктури ринку,1 819,10 577
69 Діяльність у сферах права та бухгалтерського обліку,1 762,16 868
71 Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,1 720,13 078
"74 Інша професійна, наукова та технічна діяльність",1 638,14 789
94 Діяльність громадських організацій,1 611,103 991
10 Виробництво харчових продуктів,1 606,8 965
84 Державне управління й оборона; обов'язкове соціальне страхування,1 530,38 604
