region,quantity
Автономна Республіка Крим,46073
Вінницька обл,26777
Вінницька обл,26777
Волинська обл,17232
Дніпропетровська обл,74207
Донецька обл,57831
Житомирська обл,21877
Закарпатська обл,19739
Запорізька обл,37273
Івано-Франківська обл,22012
Київська обл,309615
Кіровоградська обл,19607
Луганська обл,27503
Львівська обл,54664
Миколаївська обл,30469
Одеська обл,60172
Полтавська обл,26578
Рівненська обл,17414
Сумська обл,16742
Тернопільська обл,16872
Харківська обл,55284
Херсонська обл,22071
Хмельницька обл,22293
Черкаська обл,23418
Чернівецька обл,13289
Чернігівська обл,17386
