region,quantity
Автономна Республіка Крим,120530
Вінницька обл,63424
Волинська обл,34308
Дніпропетровська обл,122147
Донецька обл,107106
Житомирська обл,44191
Закарпатська обл,47479
Запорізька обл,63950
Івано-Франківська обл,42415
Київська обл,273087
Кіровоградська обл,29950
Луганська обл,65063
Львівська обл,92882
Миколаївська обл,49416
Одеська обл,123779
Полтавська обл,49155
Рівненська обл,32811
Сумська обл,34612
Тернопільська обл,32022
Харківська обл,132329
Херсонська обл,40629
Хмельницька обл,50927
Черкаська обл,44918
Чернівецька обл,43062
Чернігівська обл,32992
